be,was/were,been,ser/estar
beat,beat,beaten,golpear
become,became,become,llegar a ser
begin,began,begun,empezar
bet,bet,bet,apostar
bite,bit,bitten,morder
bleed,bled,bled,sangrar
blow,blew.blown,soplar
break,broke,broken,romper
bring,brought,brought,traer
build,built,built,construir
burn,burnt,burnt,quemar
buy,bought,bought,comprar
catch,caught,caught,coger
choose,chose,chosen,elegir
come,came,come,venir
cost,cost,cost,costar
cut,cut,cut,cortar
dig,dug,dug,cavar
do,did,done,hacer
draw,drew,drawn,dibujar
dream,dreamt/dreamed,dreamt/dreamed,soñar
drink,drank,drunk,beber
drive,drove,driven,conducir
eat,ate,eaten,comer
fall,fell,fallen,caer
feed,fed,fed,alimentar
feel,felt,felt,sentir
fight,fought,fought,luchar
find,found,found,encontrar
fly,flew,flown,volar
forget,forgot,forgotten,olvidar
forgive,forgave,forgiven,perdonar
freeze,froze,frozen,congelar
get,got,got,conseguir
run,ran,run,correr
give,gave,given,dar
go,went,gone,ir
